# H-band NIR Type Ia supernova template
# Created 2013-09-27 by Michael Wood-Vasey <wmwv@pitt.edu>
# based on a collection of K+, CSP, WV08, BN12, and CfA2IR
# using the method of Wood-Vasey et al. 2008, ApJ, 689, 377.
      -10.00         0.42         0.25 
       -9.00         0.36         0.25 
       -8.00         0.22         0.23 
       -7.00         0.13         0.21 
       -6.00         0.04         0.17 
       -5.00        -0.02         0.11 
       -4.00        -0.05         0.10 
       -3.00        -0.06         0.10 
       -2.00        -0.05         0.11 
       -1.00        -0.03         0.11 
        0.00         0.00         0.11 
        1.00         0.03         0.11 
        2.00         0.06         0.11 
        3.00         0.10         0.12 
        4.00         0.12         0.12 
        5.00         0.15         0.12 
        6.00         0.17         0.12 
        7.00         0.18         0.12 
        8.00         0.20         0.11 
        9.00         0.21         0.12 
       10.00         0.22         0.12 
       11.00         0.22         0.12 
       12.00         0.21         0.12 
       13.00         0.20         0.12 
       14.00         0.18         0.11 
       15.00         0.15         0.11 
       16.00         0.11         0.12 
       17.00         0.08         0.10 
       18.00         0.05         0.11 
       19.00         0.02         0.11 
       20.00         0.00         0.11 
       21.00        -0.01         0.11 
       22.00        -0.02         0.13 
       23.00        -0.02         0.14 
       24.00        -0.01         0.16 
       25.00         0.00         0.19 
       26.00         0.02         0.20 
       27.00         0.06         0.23 
       28.00         0.08         0.26 
       29.00         0.12         0.30 
       30.00         0.15         0.31 
       31.00         0.18         0.25 
       32.00         0.22         0.25 
       33.00         0.26         0.25 
       34.00         0.30         0.25 
       35.00         0.35         0.25 
       36.00         0.39         0.25 
       37.00         0.43         0.25 
       38.00         0.48         0.25 
       39.00         0.52         0.25 
       40.00         0.56         0.25 
       41.00         0.61         0.25 
       42.00         0.65         0.25 
       43.00         0.69         0.25 
       44.00         0.74         0.25 
       45.00         0.78         0.25 
       46.00         0.83         0.25 
       47.00         0.87         0.25 
       48.00         0.91         0.25 
       49.00         0.96         0.25 
       50.00         1.00         0.25 
       51.00         1.04         0.25 
       52.00         1.09         0.25 
       53.00         1.13         0.25 
       54.00         1.18         0.25 
       55.00         1.22         0.25 
       56.00         1.26         0.25 
       57.00         1.31         0.25 
       58.00         1.35         0.25 
       59.00         1.39         0.25 
       60.00         1.44         0.25 
       61.00         1.48         0.25 
       62.00         1.52         0.25 
       63.00         1.57         0.25 
       64.00         1.61         0.25 
       65.00         1.66         0.25 
       66.00         1.70         0.25 
       67.00         1.74         0.25 
       68.00         1.79         0.25 
       69.00         1.83         0.25 
       70.00         1.87         0.25 
       71.00         1.92         0.25 
       72.00         1.96         0.25 
       73.00         2.01         0.25 
       74.00         2.05         0.25 
       75.00         2.09         0.25 
       76.00         2.14         0.25 
       77.00         2.18         0.25 
       78.00         2.22         0.25 
       79.00         2.27         0.25 
       80.00         2.31         0.25 
