# J-band NIR Type Ia supernova template
# Created 2013-09-27 by Michael Wood-Vasey <wmwv@pitt.edu>
# based on a collection of K+, CSP, WV08, BN12, and CfA2IR
# using the method of Wood-Vasey et al. 2008, ApJ, 689, 377.
      -10.00         0.64         0.31 
       -9.00         0.43         0.31 
       -8.00         0.28         0.27 
       -7.00         0.14         0.21 
       -6.00         0.03         0.14 
       -5.00        -0.05         0.10 
       -4.00        -0.09         0.08 
       -3.00        -0.11         0.07 
       -2.00        -0.09         0.09 
       -1.00        -0.05         0.11 
        0.00         0.00         0.11 
        1.00         0.07         0.12 
        2.00         0.15         0.15 
        3.00         0.24         0.18 
        4.00         0.35         0.22 
        5.00         0.46         0.23 
        6.00         0.58         0.24 
        7.00         0.71         0.26 
        8.00         0.84         0.29 
        9.00         0.97         0.29 
       10.00         1.10         0.27 
       11.00         1.20         0.24 
       12.00         1.29         0.21 
       13.00         1.36         0.20 
       14.00         1.39         0.19 
       15.00         1.40         0.18 
       16.00         1.39         0.23 
       17.00         1.36         0.28 
       18.00         1.31         0.30 
       19.00         1.27         0.31 
       20.00         1.22         0.32 
       21.00         1.17         0.31 
       22.00         1.14         0.27 
       23.00         1.11         0.29 
       24.00         1.06         0.30 
       25.00         1.02         0.29 
       26.00         0.98         0.27 
       27.00         0.94         0.26 
       28.00         0.92         0.25 
       29.00         0.91         0.28 
       30.00         0.92         0.29 
       31.00         0.94         0.25 
       32.00         0.99         0.25 
       33.00         1.04         0.25 
       34.00         1.10         0.25 
       35.00         1.16         0.25 
       36.00         1.23         0.25 
       37.00         1.30         0.25 
       38.00         1.36         0.25 
       39.00         1.43         0.25 
       40.00         1.50         0.25 
       41.00         1.56         0.25 
       42.00         1.63         0.25 
       43.00         1.70         0.25 
       44.00         1.76         0.25 
       45.00         1.83         0.25 
       46.00         1.90         0.25 
       47.00         1.96         0.25 
       48.00         2.03         0.25 
       49.00         2.10         0.25 
       50.00         2.16         0.25 
       51.00         2.23         0.25 
       52.00         2.30         0.25 
       53.00         2.36         0.25 
       54.00         2.43         0.25 
       55.00         2.50         0.25 
       56.00         2.56         0.25 
       57.00         2.63         0.25 
       58.00         2.70         0.25 
       59.00         2.76         0.25 
       60.00         2.83         0.25 
       61.00         2.90         0.25 
       62.00         2.96         0.25 
       63.00         3.03         0.25 
       64.00         3.10         0.25 
       65.00         3.16         0.25 
       66.00         3.23         0.25 
       67.00         3.30         0.25 
       68.00         3.36         0.25 
       69.00         3.43         0.25 
       70.00         3.50         0.25 
       71.00         3.56         0.25 
       72.00         3.63         0.25 
       73.00         3.70         0.25 
       74.00         3.76         0.25 
       75.00         3.83         0.25 
       76.00         3.90         0.25 
       77.00         3.96         0.25 
       78.00         4.03         0.25 
       79.00         4.10         0.25 
       80.00         4.16         0.25 
