# K-band NIR Type Ia supernova template 
# Created 2013-09-27 by Michael Wood-Vasey <wmwv@pitt.edu>
# based on a collection of K+, CSP, WV08, BN12, and CfA2IR
# using the method of Wood-Vasey et al. 2008, ApJ, 689, 377.
      -10.00         0.60         0.25 
       -9.00         0.46         0.27 
       -8.00         0.34         0.24 
       -7.00         0.22         0.20 
       -6.00         0.13         0.16 
       -5.00         0.06         0.14 
       -4.00         0.01         0.13 
       -3.00        -0.02         0.12 
       -2.00        -0.03         0.12 
       -1.00        -0.02         0.14 
        0.00         0.00         0.15 
        1.00         0.03         0.15 
        2.00         0.05         0.16 
        3.00         0.08         0.16 
        4.00         0.11         0.15 
        5.00         0.14         0.14 
        6.00         0.17         0.14 
        7.00         0.20         0.13 
        8.00         0.23         0.13 
        9.00         0.26         0.15 
       10.00         0.27         0.15 
       11.00         0.28         0.16 
       12.00         0.28         0.16 
       13.00         0.28         0.16 
       14.00         0.27         0.15 
       15.00         0.26         0.13 
       16.00         0.25         0.14 
       17.00         0.24         0.15 
       18.00         0.23         0.15 
       19.00         0.22         0.15 
       20.00         0.20         0.17 
       21.00         0.19         0.18 
       22.00         0.18         0.17 
       23.00         0.19         0.21 
       24.00         0.19         0.20 
       25.00         0.20         0.20 
       26.00         0.21         0.21 
       27.00         0.23         0.22 
       28.00         0.25         0.24 
       29.00         0.27         0.29 
       30.00         0.31         0.28 
       31.00         0.36         0.25 
       32.00         0.40         0.25 
       33.00         0.45         0.25 
       34.00         0.50         0.25 
       35.00         0.54         0.25 
       36.00         0.59         0.25 
       37.00         0.63         0.25 
       38.00         0.67         0.25 
       39.00         0.71         0.25 
       40.00         0.75         0.25 
       41.00         0.80         0.25 
       42.00         0.84         0.25 
       43.00         0.88         0.25 
       44.00         0.92         0.25 
       45.00         0.96         0.25 
       46.00         1.01         0.25 
       47.00         1.05         0.25 
       48.00         1.09         0.25 
       49.00         1.13         0.25 
       50.00         1.17         0.25 
       51.00         1.22         0.25 
       52.00         1.26         0.25 
       53.00         1.30         0.25 
       54.00         1.34         0.25 
       55.00         1.38         0.25 
       56.00         1.43         0.25 
       57.00         1.47         0.25 
       58.00         1.51         0.25 
       59.00         1.55         0.25 
       60.00         1.60         0.25 
       61.00         1.64         0.25 
       62.00         1.68         0.25 
       63.00         1.72         0.25 
       64.00         1.76         0.25 
       65.00         1.81         0.25 
       66.00         1.85         0.25 
       67.00         1.89         0.25 
       68.00         1.93         0.25 
       69.00         1.97         0.25 
       70.00         2.02         0.25 
       71.00         2.06         0.25 
       72.00         2.10         0.25 
       73.00         2.14         0.25 
       74.00         2.18         0.25 
       75.00         2.23         0.25 
       76.00         2.27         0.25 
       77.00         2.31         0.25 
       78.00         2.35         0.25 
       79.00         2.39         0.25 
       80.00         2.44         0.25 
