0	8	26	10	29
0	16	2	6	7
1	4	19	26	9
1	22	19	4	3
0	30	21	21	28
0	24	30	18	18
1	16	4	1	23
0	13	17	20	24
0	24	24	14	7
0	25	17	6	26
1	5	30	15	7
0	5	22	22	2
0	10	26	2	21
0	22	5	10	5
1	16	12	0	14
1	8	8	1	27
1	20	15	3	12
0	22	16	3	29
0	0	22	0	28
0	19	15	10	22
1	29	8	18	28
1	22	6	24	23
0	29	27	5	25
1	0	1	29	0
1	21	1	28	23
1	4	0	19	19
0	18	5	30	19
1	11	2	29	3
1	0	5	13	2
1	23	2	29	7
1	12	15	29	1
1	4	2	19	5
0	27	7	29	0
0	0	6	19	19
1	1	1	21	2
1	2	4	13	6
1	1	1	20	17
1	0	6	20	11
0	10	9	27	10
1	7	1	25	6
1	3	2	28	8
1	0	1	25	14
1	11	1	29	0
1	4	2	28	26
1	0	4	16	1
0	1	8	30	1
0	20	7	12	18
1	20	9	26	10
1	4	9	28	9
0	16	0	17	24
1	0	0	17	4
1	5	3	24	4
1	3	9	30	13
1	6	0	29	13
0	14	3	28	1
1	20	10	27	0
1	13	5	27	2
0	0	4	28	9
0	12	25	29	7
0	19	14	18	17
1	27	30	2	10
1	22	2	13	1
0	15	24	14	7
1	25	26	14	0
1	10	4	26	3
0	30	30	24	29
1	28	4	27	27
1	28	3	23	16
1	24	21	26	8
0	30	29	12	0
1	28	0	18	10
1	30	3	23	9
0	13	8	29	18
1	22	0	1	5
1	27	0	0	2
0	16	0	27	4
1	4	1	27	13
0	16	3	13	8
1	19	0	27	1
0	13	0	8	13
0	1	29	28	30
1	3	3	18	5
1	22	1	25	11
1	5	0	27	9
1	11	1	17	4
0	22	0	14	5
1	5	1	24	3
1	0	2	13	11
1	2	1	28	25
1	20	1	30	22
0	11	2	26	8
0	0	0	19	4
1	22	8	3	1
0	26	0	17	2
0	27	15	8	26
1	7	4	18	0
0	0	3	29	0
1	20	9	16	22
1	22	5	30	4
1	16	0	0	22
1	15	1	11	9
0	21	6	12	0
1	4	1	4	15
0	24	1	17	13
0	4	21	7	23
0	13	27	18	9
0	4	11	28	22
1	9	3	0	25
0	6	1	2	19
1	3	0	2	25
0	15	1	12	29
0	17	11	20	25
0	1	1	1	15
0	27	22	9	29
0	1	2	21	2
0	9	20	6	21
0	26	17	4	29
0	25	11	11	26
0	16	18	4	24
1	19	25	25	8
0	20	1	25	22
1	5	3	29	28
0	6	24	17	24
0	26	28	23	1
0	10	5	26	28
1	12	17	6	13
1	21	1	17	7
1	27	7	6	21
0	14	21	22	26
0	28	0	10	29
1	0	20	3	9
1	26	6	10	3
1	19	0	21	19
1	25	4	19	30
1	20	8	5	19
0	20	5	23	13
0	13	18	15	2
1	11	21	6	19
1	15	3	1	28
0	27	24	17	9
0	0	1	1	15
1	23	0	12	14
1	12	2	11	14
0	23	2	5	1
1	7	1	2	30
1	14	3	15	18
1	24	2	0	10
0	7	20	2	23
0	1	4	2	13
1	4	0	4	9
0	13	4	6	13
1	20	2	9	28
0	7	7	0	28
1	29	0	1	15
1	21	1	8	16
0	22	1	4	15
0	4	4	0	20
1	3	11	7	26
1	2	3	28	26
1	30	1	25	18
1	1	0	23	14
1	17	2	1	21
1	5	0	8	23
1	21	2	26	23
1	8	7	14	23
1	22	1	24	30
0	13	10	9	27
1	9	4	25	5
0	10	7	26	15
0	11	15	22	8
1	0	20	8	9
1	4	1	14	15
1	22	2	26	25
1	2	13	29	25
1	1	5	23	0
1	20	6	27	13
0	6	3	26	26
1	28	16	8	6
1	26	9	5	3
1	28	3	28	20
0	25	1	4	5
0	16	0	24	0
0	1	15	7	0
0	28	2	11	29
1	18	7	30	17
1	17	5	13	20
1	30	28	15	1
0	29	16	24	23
1	1	1	4	5
1	0	5	23	3
0	1	8	29	8
0	13	23	30	30
0	15	29	4	18
0	4	3	7	0
1	11	19	11	10
0	8	12	29	0
1	1	0	0	16
0	9	4	4	0
1	3	0	9	9
1	10	8	23	27
