0	12	4	0	0
0	6	25	23	5
1	30	27	6	28
1	16	10	26	18
1	16	18	17	23
0	4	19	1	2
1	27	13	12	5
1	26	27	14	23
1	17	10	29	16
1	0	18	1	16
1	15	11	10	11
1	27	6	30	2
1	21	19	15	26
1	11	16	24	16
0	30	5	3	30
1	1	26	22	10
1	5	14	14	26
0	1	11	6	26
1	8	16	24	4
1	27	28	17	1
1	10	24	24	13
1	2	30	26	26
1	30	19	21	0
1	23	30	21	2
0	6	18	25	0
0	1	23	13	3
0	23	26	20	13
1	4	9	4	0
1	11	30	6	13
0	22	23	19	2
1	1	29	11	6
1	5	23	3	2
1	7	25	7	17
0	21	21	3	3
1	5	28	4	24
0	14	26	1	9
1	1	30	2	20
1	0	14	3	27
0	3	28	0	6
1	0	3	13	3
1	2	8	25	12
1	7	6	23	21
1	6	1	23	8
1	5	10	30	25
1	5	13	26	28
1	0	15	29	21
1	7	25	30	20
1	16	6	28	26
1	4	28	30	29
1	8	20	28	24
1	13	7	30	24
1	1	4	22	17
0	0	24	27	8
0	2	3	28	19
1	1	0	5	2
1	0	5	0	17
0	3	8	18	20
1	4	4	13	22
1	0	13	19	26
1	2	2	30	16
0	2	10	18	27
0	7	14	13	3
1	0	1	7	23
1	0	9	3	25
0	0	0	1	18
1	16	27	10	21
1	8	15	17	27
1	21	1	4	25
0	2	1	5	17
0	2	9	5	28
1	25	8	24	21
1	29	9	30	9
1	11	4	21	24
0	11	8	26	12
1	3	3	11	17
1	2	5	6	25
1	11	4	11	27
1	1	1	6	29
1	12	4	16	23
0	1	8	12	23
0	23	15	9	2
1	30	14	8	1
0	13	0	7	10
0	26	17	6	6
0	25	4	28	14
1	30	3	26	20
0	28	10	29	10
1	11	1	0	12
0	14	3	2	23
1	17	18	1	22
1	21	20	10	27
1	22	27	3	30
1	8	6	5	19
1	28	0	30	25
0	22	14	2	3
0	8	0	8	28
1	23	10	1	18
0	24	14	3	17
1	1	14	18	29
1	5	4	1	16
1	24	4	11	27
0	29	3	20	27
1	24	11	28	10
1	2	21	10	30
0	5	19	2	28
1	6	9	21	2
1	2	3	28	19
1	24	0	26	9
1	10	27	27	15
0	8	5	20	9
0	15	8	24	0
1	5	1	27	0
1	0	1	26	2
0	2	1	22	1
1	0	11	27	2
1	6	3	22	1
0	1	24	28	17
0	14	25	24	29
1	19	5	23	8
1	3	1	24	1
0	11	3	30	4
1	14	4	16	4
1	30	7	5	2
1	29	0	4	3
0	30	10	26	0
1	20	25	30	23
0	4	5	27	25
1	24	28	2	4
1	17	10	22	2
1	22	29	4	14
0	23	5	12	9
0	14	14	9	0
1	3	1	18	18
0	2	20	21	1
0	1	6	2	3
1	18	11	10	4
1	27	22	9	13
0	30	8	22	15
1	30	7	20	17
1	27	6	10	26
0	24	13	11	3
1	25	5	8	8
1	30	5	1	24
1	29	18	3	5
1	19	6	11	3
1	29	25	25	17
1	14	21	1	30
1	17	16	16	20
0	9	13	1	21
0	23	5	0	2
1	7	8	2	9
0	20	8	11	0
1	17	20	14	6
1	24	22	13	0
1	29	6	13	0
1	28	28	10	0
1	28	3	4	0
0	13	8	19	5
0	19	7	4	1
1	2	9	1	7
1	15	22	3	7
0	3	23	17	6
0	22	9	24	23
1	8	22	7	13
0	9	21	9	11
1	14	24	0	3
1	23	16	2	5
1	21	30	9	6
1	25	24	1	22
0	17	18	6	12
1	7	21	0	3
1	6	15	3	2
1	11	30	2	24
1	2	20	1	4
1	30	30	5	25
0	1	30	4	14
1	11	4	18	30
1	18	1	7	27
0	28	0	7	8
1	3	9	3	29
1	24	26	4	29
1	11	19	0	29
1	1	13	12	25
1	29	24	1	20
1	26	16	2	16
1	19	19	5	27
1	21	0	17	29
1	3	17	11	20
0	18	10	15	21
1	3	10	2	17
1	2	21	1	18
1	1	13	0	28
1	4	3	4	29
1	1	13	0	25
0	4	8	8	29
0	3	17	0	11
0	28	15	29	30
1	24	27	19	24
1	26	25	14	18
1	5	23	18	26
